date,AdrActCnt,AssetEODCompletionTime,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
12/8/2013,6990,1611240186,2486,1707027,686.656074,,,0,0.494418205,0.91011702,,1,,4245.6959,,6.11001E-05,1240744202,36500,,1240744202,,6.75856011,,,,,,1240744202,1.42833E+11,1240744202,4665,9314,183581144.9,,99231.98706,,17905.62153,,924246727.5,,,,
12/9/2013,10863,1611240186,1526,2759110,1808.066841,,,0,2.376903574,0.81827322,,1,,7641.853601,,0.000180307,761942868,13886.79986,,761942868,,3.05632794,,,,,,2002687070,1.42848E+11,2002687070,9339,18696,655259222.1,,129690.2228,,27823.36316,,2424688406,,,,
12/10/2013,12132,1611240187,1417,2971715,2097.187721,,,0,3.361733389,0.579751376,,1,,5478.650505,,0.000236799,710930177,9562.495205,,710930177,,3.41312851,,,,,,2713617247,1.42862E+11,2713617247,9450,18999,795052760.4,,129582.3878,,20703.72897,,2461935786,,,,
12/11/2013,43044,1611240187,1575,8431778,5353.509841,,,0,5.092980515,0.098897799,,0.0001,,2863.19017,,0.000398748,770966106,8075.646535,,770966106,,2.32270357,,,,,,3484583353,1.42878E+11,3484583353,28951,56999,1500227319,,76269.77196,,1752.573069,,4347300732,,,,
12/12/2013,61432,1611240187,1460,13549784,9280.673973,,,0,7.277435615,0.021665208,,0.0001,,954.0491131,,0.000528174,698818257,6097.15929,,698818257,,3.12941679,,,,,,4183401610,1.42893E+11,4183401610,44036,84256,1336799121,,64637.40539,,833.6768943,,5446089229,,,,
12/13/2013,64759,1611240187,1590,14896480,9368.855346,,,0,9.754230778,0.040522169,,0.0001,,2052.731514,,0.000770968,787422756,5781.924485,,787422756,,2.55321802,,,,,,4970824366,1.42909E+11,4970824366,50657,99546,1946885983,,92225.5363,,2162.010677,,9180683236,,,,
12/14/2013,98292,1611240187,1555,24502291,15757.10032,,,0,17.83852465,0.021442024,,0.0001,,1724.453336,,0.001378908,776751325,4932.762205,,776751325,,2.68678528,,,,,,5747575691,1.42924E+11,5747575691,80424,159352,2139201721,,69981.14682,,619.6235808,,11151635708,,,,
12/15/2013,157712,1611240187,1670,40722710,24384.85629,,,0,36.86330359,3.094865155,,0.0001,,399098.336,,0.00306025,834560247,4627.897415,,834560247,,1.9177214,,,,,,6582135938,1.42941E+11,6582135938,128955,253732,3432269124,,106827.8907,,369.0594425,,27105654363,,,,
12/16/2013,127087,1611240188,1545,30370178,19657.07314,,,0,81.52449647,41.08415822,,0.0001,,3890423.279,,0.006261274,791014644,3915.834245,,791014644,,3.33711792,,,,,,7373150582,1.42956E+11,7373150582,94694,184142,2209436635,,389861.3163,,200,,71789842499,,,,
12/17/2013,131166,1611240188,1444,26736025,18515.25277,,,0,107.799271,0.004047352,,0.0001,,374.4934019,,0.007738007,707277501,3194.834415,,707277501,,2.98305356,,,,,,8080428083,1.42971E+11,8080428083,92528,183302,2708777406,,67876.47966,,119.8897142,,12441894474,,,,
12/18/2013,134838,1611240188,1493,29189764,19551.08104,,,0,135.9522466,0.054491203,,0.0001,,5188.434404,,0.010090027,739786847,3061.40173,,739786847,,2.80978559,,,,,,8820214930,1.42986E+11,8820214930,95216,189745,3139106046,,74798.61711,,471.0600131,,14192663603,,,,
12/19/2013,248993,1611240188,1581,60808521,38462.06262,,,0,215.9969108,0.02435769,,0.0001,,4689.415576,,0.016975615,771582898,2936.131175,,771582898,,2.16716894,,,,,,9591797828,1.43001E+11,9591797828,192523,391289,4425957585,,70647.5828,,358.9859723,,27643622025,,,,
12/20/2013,255225,1611240188,1494,62215562,41643.6158,,,0,332.2682615,0.007064661,,0.0001,,1412.579055,,0.024676614,758765431,2675.69382,,758765431,,4.0475548,,,,,,10350563259,1.43016E+11,10350563259,199950,514186,2557238573,,85827.32365,,135.0990055,,44131208236,,,,
12/21/2013,226438,1611240188,1418,49588061,34970.42384,,,0,349.5950696,0.011006924,,0.0001,,1842.713224,,0.024642664,726686334,2394.461685,,726686334,,4.33210121,,,,,,11077249593,1.43031E+11,11077249593,167414,334202,2557015419,,119406.368,,1500,,39905846986,,,,
12/22/2013,210197,1611240189,1393,45628001,32755.20531,,,0,327.9807278,0.008480596,,0.0001,,1341.833896,,0.022711487,700004797,2169.450865,,700004797,,4.54505395,,,,,,11777254390,1.43044E+11,11777254390,158224,315916,2591224336,,120305.7028,,1921.263756,,38006496398,,,,
12/23/2013,197803,1611240189,1480,41837129,28268.33041,,,0,321.1956552,0.008283877,,0.0001,,1234.363984,,0.023630749,734348244,2142.30837,,734348244,,4.83055566,,,,,,12511602634,1.43059E+11,12511602634,149008,305347,2590095945,,133311.1843,,1859.296085,,40706170183,,,,
12/24/2013,176977,1611240189,1458,38892970,26675.56241,,,0,398.5555173,0.008619097,,0.0001,,1089.824504,,0.028886337,727433683,2005.53338,,727433683,,3.72385267,,,,,,13239036317,1.43074E+11,13239036317,126443,249049,3555198739,,130282.1505,,2996.279919,,32446639292,,,,
12/25/2013,244147,1611240189,1470,39518980,26883.65986,,,0,441.6023297,0.006525783,,0.0001,,855.745494,,0.032269691,730638124,1909.013145,,730638124,,4.63634781,,,,,,13969674441,1.43089E+11,13969674441,131133,325089,3013077318,,110718.6275,,1131.537,,35993407890,,,,
12/26/2013,286503,1611240189,1429,68392091,47860.10567,,,0,431.8255756,0.117639086,,0.0001,,14802.2909,,0.030675151,713324497,1771.518375,,713324497,,6.25581631,,,,,,14697192104,1.43103E+11,14697192104,125828,1222909,2349364394,,26235.33591,,1.00E-08,,32083428408,,,,
12/27/2013,173620,1611240189,1373,37771678,27510.32629,,,0,426.6488249,0.353896249,,0.0001,,47260.01284,,0.029119721,683197526,1622.829055,,683197526,,6.09188052,,,,,,15366196464,1.43117E+11,15366196464,133542,265389,2522406078,,119462.2454,,2000,,31703965834,,,,
12/28/2013,149526,1611240189,1444,31799281,22021.66274,,,0,437.5523631,0.339933659,,0.0001,,38676.292,,0.031408222,718112583,1629.60747,,718112583,,6.48105722,,,,,,16084309047,1.43131E+11,16084309047,113776,225773,2481741558,,135539.3217,,4497.331463,,30601119272,,,,
12/29/2013,160057,1611240190,1423,33037206,23216.5889,,,0,385.1654563,0.319620888,,0.0001,,37271.63104,,0.027245724,717340085,1558.35363,,717340085,,6.21055844,,,,,,16801649132,1.43145E+11,16801649132,116612,243359,2705336291,,118894.1457,,2344.222032,,28933960397,,,,
12/30/2013,157988,1611240190,1412,33722860,23883.04533,,,0,364.3047876,0.475174317,,0.0001,,58368.51242,,0.025570881,708484813,1476.84183,,708484813,,6.38249374,,,,,,17510133945,1.43159E+11,17510133945,122836,243071,2743462768,,128460.5697,,5201.740003,,31225039128,,,,
12/31/2013,141755,1611240190,1422,30123830,21184.12799,,,0,345.9606716,0.491503798,,0.0001,,53396.48107,,0.024455269,703929399,1409.84316,,703929399,,5.82191311,,,,,,18224314571,1.43174E+11,18224314571,108639,217206,3130296559,,136664.0205,,5407.400458,,29684245230,,,,
1/1/2014,142092,1611240190,1453,30408529,20928.09979,,,0,357.2640607,0.50744861,,0.01013265,,56073.07141,,0.025804834,743166326,1430.88249,,743166326,,6.13050485,,,,,,18957229670,1.43188E+11,18957229670,110500,217461,3092278718,,147422.3635,,5662.087001,,32058614594,,,,
1/2/2014,145633,1611240190,1416,32327474,22830.13701,,,0,360.2393909,0.613065814,,1,,68795.7934,,0.025357158,691044881,1283.733105,,691044881,,5.37287704,,,,,,19648274551,1.43202E+11,19648274551,112216,221173,3656937319,,136547.1736,,5530.42533,,30200548031,,,,
